VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,09/01/2021 07:14:00 AM,09/01/2021 07:38:00 AM,,,244,75,,5.51,18.85,0,0,2.13,0,,0.3,21.28,,,
2,09/01/2021 07:14:20 AM,09/01/2021 07:22:54 AM,N,1,74,168,6,1.69,8,0,0.5,1,0,,0.3,9.8,1,1,0
2,09/01/2021 07:15:00 AM,09/01/2021 07:54:00 AM,,,51,140,,12.34,39.89,2.75,0,0,6.55,,0.3,49.49,,,
2,09/01/2021 07:15:05 AM,09/01/2021 07:22:30 AM,N,1,75,42,2,1.77,7.5,0,0.5,1,0,,0.3,9.3,1,1,0
2,09/01/2021 07:15:18 AM,09/01/2021 07:20:36 AM,N,1,42,41,1,1.49,6.5,0,0.5,1.46,0,,0.3,8.76,1,1,0
1,09/01/2021 07:15:40 AM,09/01/2021 07:37:32 AM,N,1,89,77,1,4,17,0,0.5,0,0,,0.3,17.8,2,1,0
2,09/01/2021 07:16:00 AM,09/01/2021 08:06:00 AM,,,242,65,,18.48,55.1,2.75,0,0,6.55,,0.3,64.7,,,
2,09/01/2021 07:16:00 AM,09/01/2021 07:21:00 AM,,,167,47,,0.47,14.55,2.75,0,0,0,,0.3,17.6,,,
2,09/01/2021 07:17:29 AM,09/01/2021 07:21:26 AM,N,1,75,263,1,1.15,5.5,0,0.5,3,0,,0.3,12.05,1,1,2.75
2,09/01/2021 07:18:00 AM,09/01/2021 07:43:00 AM,,,97,138,,10.66,32.47,0,0,5.47,0,,0.3,38.24,,,
2,09/01/2021 07:18:20 AM,09/01/2021 07:45:40 AM,N,1,215,86,1,9.53,29,0,0.5,0,0,,0.3,29.8,2,1,0
2,09/01/2021 07:18:31 AM,09/01/2021 07:31:44 AM,N,1,82,170,1,6.1,18,0,0.5,3.76,0,,0.3,22.56,1,1,0
2,09/01/2021 07:19:00 AM,09/01/2021 08:18:00 AM,,,39,254,,23.72,58.91,2.75,0,0,6.55,,0.3,68.51,,,
2,09/01/2021 07:19:31 AM,09/01/2021 07:29:32 AM,N,1,61,61,1,0.32,7.5,0,0.5,0,0,,0.3,8.3,2,1,0
2,09/01/2021 07:19:43 AM,09/01/2021 07:48:38 AM,N,1,92,51,1,12.21,36,0,0.5,0,6.55,,0.3,43.35,1,1,0
2,09/01/2021 07:20:00 AM,09/01/2021 08:04:00 AM,,,227,75,,15.05,39.34,2.75,0,0,6.55,,0.3,48.94,,,
2,09/01/2021 07:21:00 AM,09/01/2021 08:08:00 AM,,,241,236,,8.43,39.85,2.75,0,0,0,,0.3,42.9,,,
1,09/01/2021 07:23:43 AM,09/01/2021 07:41:29 AM,N,1,74,237,1,3.4,14,2.75,0.5,3.5,0,,0.3,21.05,1,1,2.75
2,09/01/2021 07:24:00 AM,09/01/2021 07:52:00 AM,,,133,65,,4.53,32.33,2.75,0,0,0,,0.3,35.38,,,
2,09/01/2021 07:24:00 AM,09/01/2021 07:45:00 AM,,,116,263,,4.16,23.36,2.75,0,0,0,,0.3,26.41,,,
2,09/01/2021 07:24:00 AM,09/01/2021 07:43:00 AM,,,126,18,,5.35,33.09,2.75,0,0,0,,0.3,36.14,,,
2,09/01/2021 07:24:54 AM,09/01/2021 07:35:14 AM,N,1,41,75,1,1.94,9.5,0,0.5,0,0,,0.3,10.3,2,1,0
1,09/01/2021 07:25:35 AM,09/01/2021 07:46:09 AM,N,1,75,249,1,6.4,21,2.75,0.5,6.1,0,,0.3,30.65,1,1,2.75
2,09/01/2021 07:26:37 AM,09/01/2021 07:35:56 AM,N,1,42,74,2,1.89,9,0,0.5,1.96,0,,0.3,11.76,1,1,0
2,09/01/2021 07:27:08 AM,09/01/2021 07:35:00 AM,N,1,75,142,1,2.58,9,0,0.5,2.51,0,,0.3,15.06,1,1,2.75
2,09/01/2021 07:28:00 AM,09/01/2021 07:54:00 AM,,,136,166,,6.03,29.94,2.75,0,0,0,,0.3,32.99,,,
2,09/01/2021 07:28:46 AM,09/01/2021 08:49:59 AM,N,4,86,265,1,43.44,224.5,0,0.5,0,6.55,,0.3,231.85,1,1,0
2,09/01/2021 07:29:00 AM,09/01/2021 08:33:00 AM,,,188,140,,10.95,34.62,2.75,0,0,0,,0.3,37.67,,,
1,09/01/2021 07:29:49 AM,09/01/2021 07:45:41 AM,N,1,152,48,1,5.5,18.5,2.75,0.5,0,0,,0.3,22.05,1,1,2.75
2,09/01/2021 07:31:20 AM,09/01/2021 07:38:41 AM,N,1,130,215,1,1.76,7.5,0,0.5,3.7,0,,0.3,12,1,1,0
2,09/01/2021 07:31:50 AM,09/01/2021 07:37:47 AM,N,1,74,75,1,1.25,6.5,0,0.5,1.82,0,,0.3,9.12,1,1,0
2,09/01/2021 07:32:00 AM,09/01/2021 07:56:00 AM,,,119,254,,8.21,27.27,2.75,0,0,0,,0.3,30.32,,,
2,09/01/2021 07:32:00 AM,09/01/2021 07:55:00 AM,,,140,243,,7.8,34.34,2.75,0,0,0,,0.3,37.39,,,
2,09/01/2021 07:32:00 AM,09/01/2021 08:13:00 AM,,,243,261,,12.1,40.93,5.5,0,0,0,,0.3,46.73,,,
2,09/01/2021 07:33:00 AM,09/01/2021 07:52:00 AM,,,213,169,,5.95,20.53,2.75,0,0,0,,0.3,23.58,,,
2,09/01/2021 07:33:00 AM,09/01/2021 07:58:00 AM,,,25,17,,2.77,19.15,2.75,0,0,0,,0.3,22.2,,,
2,09/01/2021 07:33:00 AM,09/01/2021 07:49:00 AM,,,119,78,,2.96,21.26,2.75,0,0,0,,0.3,24.31,,,
2,09/01/2021 07:33:32 AM,09/01/2021 09:30:57 AM,N,1,136,171,1,28.1,101,0,0.5,0,6.55,,0.3,108.35,1,1,0
2,09/01/2021 07:33:45 AM,09/01/2021 07:43:15 AM,N,1,75,142,1,2.81,10.5,0,0.5,1,0,,0.3,15.05,1,1,2.75
2,09/01/2021 07:34:00 AM,09/01/2021 08:19:00 AM,,,134,247,,13.27,47.7,2.75,0,0,6.55,,0.3,57.3,,,
2,09/01/2021 07:34:00 AM,09/01/2021 08:06:00 AM,,,200,48,,10.89,41.26,2.75,0,0,3,,0.3,47.31,,,
2,09/01/2021 07:34:00 AM,09/01/2021 07:44:00 AM,,,89,188,,32216.52,43.45,2.75,0,0,0,,0.3,46.5,,,
1,09/01/2021 07:34:08 AM,09/01/2021 07:44:38 AM,N,1,74,75,1,1.5,8.5,0,0.5,1.85,0,,0.3,11.15,1,1,0
2,09/01/2021 07:34:39 AM,09/01/2021 07:40:40 AM,N,1,41,166,1,0.87,6,0,0.5,2.2,0,,0.3,9,1,1,0
2,09/01/2021 07:34:51 AM,09/01/2021 08:18:15 AM,N,1,95,137,1,11.1,38,0,0.5,0,6.55,,0.3,48.1,2,1,2.75
2,09/01/2021 07:35:00 AM,09/01/2021 08:01:00 AM,,,119,242,,5.88,27.27,2.75,0,0,0,,0.3,30.32,,,
2,09/01/2021 07:36:00 AM,09/01/2021 07:41:00 AM,,,42,41,,0.65,17.69,2.75,0,0,0,,0.3,20.74,,,
2,09/01/2021 07:36:02 AM,09/01/2021 07:49:12 AM,N,1,74,141,1,3.11,12,0,0.5,3.11,0,,0.3,18.66,1,1,2.75
2,09/01/2021 07:36:55 AM,09/01/2021 07:46:43 AM,N,1,130,10,1,2.23,9.5,0,0.5,2.58,0,,0.3,12.88,1,1,0
2,09/01/2021 07:37:00 AM,09/01/2021 08:06:00 AM,,,25,37,,4.16,23.07,2.75,0,0,0,,0.3,26.12,,,
2,09/01/2021 07:38:00 AM,09/01/2021 08:05:00 AM,,,95,145,,7.1,25.21,2.75,0,0,0,,0.3,28.26,,,
2,09/01/2021 07:38:12 AM,09/01/2021 07:46:06 AM,N,1,74,75,1,0.95,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
2,09/01/2021 07:38:28 AM,09/01/2021 07:50:22 AM,N,1,43,262,1,1.68,9,0,0.5,2.51,0,,0.3,15.06,1,1,2.75
2,09/01/2021 07:39:24 AM,09/01/2021 08:32:59 AM,N,1,35,215,1,12.3,44.5,0,0.5,0,0,,0.3,45.3,1,1,0
2,09/01/2021 07:39:55 AM,09/01/2021 07:56:13 AM,N,1,116,142,1,4.85,17,0,0.5,4.11,0,,0.3,24.66,1,1,2.75
2,09/01/2021 07:40:00 AM,09/01/2021 08:01:00 AM,,,215,192,,5.2,29.31,2.75,0,0,0,,0.3,32.36,,,
1,09/01/2021 07:40:57 AM,09/01/2021 07:48:04 AM,N,1,41,74,1,0.9,6.5,0,0.5,0,0,,0.3,7.3,1,1,0
2,09/01/2021 07:40:59 AM,09/01/2021 07:54:02 AM,N,1,75,164,1,3.83,13,0,0.5,4.96,0,,0.3,21.51,1,1,2.75
2,09/01/2021 07:41:00 AM,09/01/2021 07:43:00 AM,,,185,185,,0.28,27.43,2.75,0,0,0,,0.3,30.48,,,
